
Gurobi 9.5.0 (win64) logging started Tue Apr  5 17:50:01 2022

Set parameter LogFile to value "..\NewModel\Data_10_5_1\logFile.txt"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (win64)
Thread count: 6 physical cores, 12 logical processors, using up to 12 threads
Optimize a model with 15732 rows, 4225 columns and 410396 nonzeros
Model fingerprint: 0x6dcad8e1
Variable types: 158 continuous, 4067 integer (4067 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+05]
  Objective range  [9e-01, 1e+05]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 3e+05]
Found heuristic solution: objective 983933.55536
Presolve added 0 rows and 27 columns
Presolve removed 1975 rows and 0 columns
Presolve time: 0.83s
Presolved: 13757 rows, 4252 columns, 238503 nonzeros
Variable types: 140 continuous, 4112 integer (4112 binary)

Root relaxation: objective 1.230968e+05, 642 iterations, 0.10 seconds (0.19 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 123096.779    0    9 983933.555 123096.779  87.5%     -    1s
H    0     0                    897775.14789 123096.779  86.3%     -    1s
H    0     0                    136945.26774 123096.779  10.1%     -    1s
     0     0 123096.779    0   19 136945.268 123096.779  10.1%     -    1s
H    0     0                    135781.61274 123096.779  9.34%     -    2s
H    0     0                    135614.14074 123096.779  9.23%     -    3s
     0     0 123096.779    0   11 135614.141 123096.779  9.23%     -    3s
     0     0 123096.779    0    8 135614.141 123096.779  9.23%     -    3s
     0     0 123096.779    0   14 135614.141 123096.779  9.23%     -    4s
     0     0 123096.779    0   14 135614.141 123096.779  9.23%     -    4s
     0     0 123096.779    0   12 135614.141 123096.779  9.23%     -    4s
     0     0 123096.779    0   12 135614.141 123096.779  9.23%     -    5s
H    0     0                    135275.71374 123096.779  9.00%     -    5s
     0     0 123096.779    0    7 135275.714 123096.779  9.00%     -    5s
     0     0 123096.779    0   14 135275.714 123096.779  9.00%     -    6s
     0     0 123096.779    0   30 135275.714 123096.779  9.00%     -    6s
H    0     0                    132860.22174 123096.779  7.35%     -    6s
     0     0 123096.779    0   12 132860.222 123096.779  7.35%     -    7s
     0     0 123096.779    0   12 132860.222 123096.779  7.35%     -    7s
     0     2 123096.779    0    9 132860.222 123096.779  7.35%     -    7s
    57    93 123096.779   11    9 132860.222 123096.779  7.35%   115   10s
   997  1470 123096.779   74   19 132860.222 123096.779  7.35%  39.8   17s
  1860  1471 123096.779   53   12 132860.222 123096.779  7.35%  33.5   23s
  1863  1473 123096.779    5   16 132860.222 123096.779  7.35%  33.5   25s
  1878  1483 131852.087   52   41 132860.222 123096.779  7.35%  33.2   30s
  1893  1494 123096.779  100    9 132860.222 123096.779  7.35%   5.9   35s
  1956  1529 123096.779   32   34 132860.222 123096.779  7.35%  12.3   40s
  2558  1722 123096.779   67    7 132860.222 123096.779  7.35%  19.4   45s
  3314  1652 123096.779   37   36 132860.222 123096.779  7.35%  28.6   51s
* 3854  1559             114    132206.08824 123096.779  6.89%  31.5   53s
  4105  1423 infeasible   56      132206.088 123096.779  6.89%  32.5   55s
H 4108  1350                    132177.01374 123096.779  6.87%  32.5   55s
  5042  1092 infeasible   59      132177.014 123096.779  6.87%  35.2   60s
  5873   834 123096.779   36   15 132177.014 123096.779  6.87%  37.7   66s
  6817   859 infeasible   44      132177.014 123096.779  6.87%  41.9   72s
  7365   875 123096.779   46   35 132177.014 123096.779  6.87%  43.6   76s
  8324   953 123096.779   49   36 132177.014 123096.779  6.87%  45.4   82s
  8888   960 123096.779   54   17 132177.014 123096.779  6.87%  46.2   86s
  9424  1035 infeasible   43      132177.014 123096.779  6.87%  47.0   90s
 12073  1382 123096.779   39   19 132177.014 123096.779  6.87%  45.2   98s
H12245  1382                    132177.01372 123096.779  6.87%  45.4   98s
 12619  1383 123096.779   66   12 132177.014 123096.779  6.87%  45.7  101s
 12636  1394 126473.281   55   16 132177.014 123096.779  6.87%  45.6  105s
H12706  1369                    132177.01370 123096.779  6.87%  46.5  107s
 12984  1464 123096.779   48   15 132177.014 123096.779  6.87%  46.6  110s
 13682  1571 123096.779   50   21 132177.014 123096.779  6.87%  47.2  116s
H13881  1437                    132177.01367 123096.779  6.87%  47.4  116s
H13998  1335                    132177.01363 123096.779  6.87%  47.6  116s
 14390  1277 123096.779   48   15 132177.014 123096.779  6.87%  48.5  121s
 15425  1077 123096.779   59   35 132177.014 123096.779  6.87%  50.5  126s
 16352   897 infeasible   79      132177.014 123096.779  6.87%  51.7  131s
 17472  1044 infeasible   57      132177.014 123096.779  6.87%  52.7  137s
 18648  1082 infeasible   61      132177.014 123096.779  6.87%  53.8  142s
 18995  1145 infeasible   59      132177.014 123096.779  6.87%  54.5  145s
 19956  1346 123096.779   48   11 132177.014 123096.779  6.87%  56.2  152s
 20707  1377 infeasible   75      132177.014 123096.779  6.87%  57.1  156s
 21368  1460 infeasible   87      132177.014 123096.779  6.87%  58.3  160s
 22603  1480 123096.779   77   25 132177.014 123096.779  6.87%  59.9  167s
 23125  1557 124848.467   77   58 132177.014 123096.779  6.87%  60.8  171s
