Input,Objective,Runtime,TSP
PenaltyMin: 10
1,4200.000000,10.355995,10649.490000
2,4200.000000,4.964998,8692.700000
3,4200.000000,11.327999,8669.000000
4,3358.765000,13.442999,9048.830000
5,4141.335000,4.454996,12346.310000

PenaltyMin: 15
1,6300.000000,10.918999,10649.490000
2,6300.000000,6.838999,8692.700000
3,6292.169991,12.091000,8669.000000
4,4258.765000,13.643999,9048.830000
5,5641.335000,3.824001,12346.310000

PenaltyMin: 20
1,7023.160000,12.053001,10649.490000
2,7573.685000,8.598999,8692.700000
3,6292.170000,13.234999,8669.000000
4,5158.765000,12.058001,9048.830000
5,7141.335000,4.518999,12346.310000

PenaltyMin: 25
1,7023.160000,13.214996,10649.490000
2,8286.569999,7.360001,8692.700000
3,6292.170000,11.848000,8669.000000
4,6058.765000,13.214998,9048.830000
5,8586.530000,4.818001,12346.310000

PenaltyMin: 30
1,7023.159999,11.445999,10649.490000
2,8286.570000,6.869999,8692.700000
3,6292.169999,11.543001,8669.000000
4,6958.765000,16.388000,9048.830000
5,9186.530000,3.566999,12346.310000

PenaltyMin: 35
1,7023.159999,12.429998,10649.490000
2,8286.570000,6.533998,8692.700000
3,6292.170000,11.022997,8669.000000
4,7858.765000,13.877996,9048.830000
5,9786.530000,4.681999,12346.310000

PenaltyMin: 40
1,7023.160000,11.111998,10649.490000
2,8286.570000,6.749998,8692.700000
3,6292.170000,11.882994,8669.000000
4,8511.499999,13.003002,9048.830000
5,10386.530000,5.387999,12346.310000

