,0,1,2,3,4,5,6,7,8,9
0,0.0,27843.03,28200.03,30581.71,70862.04,72207.05,63915.61,56749.88,3494.19,45975.36
1,28650.25,0.0,1270.84,4273.28,46783.41,48128.43,39836.98,32671.25,29304.92,21896.72
2,28459.24,1285.45,0.0,4123.65,46592.4,47937.41,39645.97,32480.24,29113.9,21705.71
3,30786.45,4199.68,4327.99,0.0,48919.61,50264.63,41973.18,34807.45,31441.12,24032.93
4,72722.09,46869.25,47226.25,49607.93,0.0,11559.9,44974.15,37808.42,73376.76,24063.85
5,74859.86,49007.02,49364.02,51745.71,11922.13,0.0,39878.88,32713.15,75514.52,32926.43
6,65578.68,39725.84,40082.84,39553.87,44762.96,37854.83,0.0,12767.4,66233.35,33156.31
7,60378.75,34525.91,34882.91,37264.59,39563.02,32654.89,12828.91,0.0,61033.41,27956.38
8,3488.86,31424.46,31781.46,34163.15,74443.48,75788.49,67497.05,60331.32,0.0,49556.79
9,48522.38,22669.54,23026.54,25408.22,30907.15,33876.0,33739.75,26574.02,49177.04,0.0
