,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,1797.67,1350.65,1509.81,1402.83,1082.99,1007.33,1204.84,1115.9,1894.92,1730.84,1815.45,0.0
1,1889.76,0.0,3239.25,591.52,1328.94,1537.46,1576.17,2193.32,2104.38,2883.4,781.6,698.03,1889.76
2,1373.58,3133.58,0.0,2845.72,2738.74,2418.9,2343.24,2540.75,2201.49,2708.55,3066.75,3151.36,1373.58
3,1460.98,705.22,2810.48,0.0,942.1,1108.69,1147.4,1764.55,1675.6,2454.63,453.36,480.34,1460.98
4,1452.46,1157.16,2801.95,808.53,0.0,1028.19,724.33,1391.35,1650.27,2163.57,792.97,942.41,1452.46
5,1129.31,1502.93,2478.81,1215.07,1097.97,0.0,688.41,1419.58,1343.93,2122.96,1436.1,1520.71,1129.31
6,1012.45,1573.51,2361.94,1245.5,869.42,658.2,0.0,1191.03,1227.07,1931.02,1229.95,1345.93,1012.45
7,1186.05,2097.51,2535.55,1748.88,1308.48,1345.76,1041.9,0.0,987.8,1180.02,1733.33,1882.77,1186.05
8,1078.26,2076.19,2308.43,1788.33,1490.27,1361.52,1069.16,996.13,0.0,1261.51,1850.79,1966.78,1078.26
9,1756.75,2754.68,2816.98,2422.38,2046.3,1929.05,1625.2,1158.42,1106.62,0.0,2406.83,2522.81,1756.75
10,1761.67,883.39,3111.16,465.6,939.74,1409.37,1325.94,1967.28,1976.28,2755.31,0.0,379.47,1761.67
11,1765.07,740.24,3114.56,367.89,1078.63,1412.77,1400.04,2052.83,1979.69,2758.72,335.05,0.0,1765.07
12,0.0,1797.67,1350.65,1509.81,1402.83,1082.99,1007.33,1204.84,1115.9,1894.92,1730.84,1815.45,0.0
