,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.0,1742.96,151.26,2242.74,2112.74,3164.31,1688.13,2597.95,722.36,790.23,2132.88,1104.89,1253.09,1030.22,0.0
1,1624.67,0.0,1492.36,970.74,1832.82,1919.57,873.68,1124.49,1580.68,2031.08,2436.94,1408.95,1745.01,1047.93,1624.67
2,185.43,1634.26,0.0,2134.04,2015.08,3055.61,1579.43,2489.25,613.66,804.18,2035.22,1007.23,1155.43,921.53,185.43
3,2150.51,1105.06,2029.05,0.0,1800.46,2217.37,647.42,1788.44,1758.9,2209.3,2553.49,1587.17,1907.9,1540.07,2150.51
4,1912.57,1944.67,1795.22,1838.54,0.0,3096.14,1581.04,2667.21,1564.54,1971.36,2199.99,1281.59,1554.4,1693.06,1912.57
5,3117.88,1950.68,2985.57,2178.03,3011.54,0.0,1999.85,1032.18,2772.0,3222.4,3628.26,2600.27,2936.33,2541.14,3117.88
6,1576.94,924.77,1444.64,656.6,1451.34,2035.68,0.0,1606.76,1231.06,1681.47,2087.32,1059.33,1395.4,1000.2,1576.94
7,2639.57,1230.57,2507.26,1853.69,2667.05,1103.79,1655.36,0.0,2427.51,2877.92,3283.77,2255.78,2591.85,2062.83,2639.57
8,795.18,1647.73,677.83,1847.65,1557.61,2849.1,1372.92,2420.18,0.0,1050.9,1556.46,528.47,691.34,927.28,795.18
9,694.34,2206.98,782.3,2474.04,2201.93,3467.03,1990.86,3038.11,1108.53,0.0,2222.07,1194.08,1342.28,1494.25,694.34
10,1952.69,2504.4,1835.34,2505.73,2215.69,3705.77,2229.59,3276.84,1554.04,2011.48,0.0,1178.39,1530.91,1783.94,1952.69
11,1000.28,1551.99,882.94,1589.7,1299.66,2753.36,1277.18,2324.44,549.33,1059.08,1298.51,0.0,428.38,831.53,1000.28
12,1125.1,1886.91,1007.75,1888.24,1598.2,3088.27,1612.1,2659.35,712.06,1183.89,1544.52,394.77,0.0,1166.45,1125.1
13,966.86,1092.61,834.56,1538.89,1716.34,2433.68,957.5,1947.6,978.47,1400.62,1834.73,806.74,1142.8,0.0,966.86
14,0.0,1742.96,151.26,2242.74,2112.74,3164.31,1688.13,2597.95,722.36,790.23,2132.88,1104.89,1253.09,1030.22,0.0
