,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0.0,3171.57,3151.81,3544.73,4067.36,3654.18,2850.39,2241.86,3717.66,2230.91,3041.55,4028.37,3213.22,2063.64,2269.28,1983.61,0.0
1,3239.13,0.0,311.54,1620.56,1573.59,1160.42,891.94,1533.59,2621.05,1857.63,1993.88,1534.6,295.61,1785.84,1651.63,2154.03,3239.13
2,3265.64,396.99,0.0,1422.5,1467.34,1140.83,1000.67,1600.97,2434.71,1841.6,1795.82,1515.02,260.32,1827.79,1606.71,2180.55,3265.64
3,3651.84,1540.42,1435.52,0.0,1939.06,1450.97,1515.79,1915.69,1686.16,1945.27,1899.48,1900.06,1496.93,2213.99,1933.06,2566.75,3651.84
4,4177.93,1683.43,1490.28,2020.13,0.0,1054.32,2041.88,2441.78,2616.73,2471.36,2425.57,554.29,1495.55,2740.08,2459.15,3092.84,4177.93
5,3583.42,1072.6,967.7,1428.12,1085.25,0.0,1447.37,1847.28,2115.46,1876.85,1831.07,1046.26,1056.05,2145.57,1864.64,2498.33,3583.42
6,2897.58,916.02,851.33,1319.78,1783.21,1370.03,0.0,1232.91,2076.24,1497.48,1458.64,1744.22,912.74,1459.73,1238.66,1812.49,2897.58
7,2170.41,1351.44,1463.29,1756.83,2279.46,1866.28,1184.94,0.0,2594.23,665.33,1253.65,2240.47,1482.35,732.56,327.53,1085.32,2170.41
8,3823.26,2446.69,2341.79,1711.59,2557.32,1993.23,2036.26,2662.81,0.0,2295.35,1778.64,2518.32,2403.21,2746.3,2660.31,2667.71,3823.26
9,2198.12,1729.56,1709.8,1958.42,2481.05,2067.88,1408.37,671.52,2280.34,0.0,1455.24,2442.06,1771.21,637.98,619.42,908.41,2198.12
10,3109.81,1784.62,1679.72,1759.09,2281.72,1868.55,1424.81,1373.67,1692.53,1403.24,0.0,2242.73,1741.13,1671.96,1391.03,2024.72,3109.81
11,4201.23,1712.62,1607.72,2043.43,552.15,953.72,2065.17,2465.08,2640.03,2494.66,2448.87,0.0,1696.07,2763.38,2482.44,3116.14,4201.23
12,3309.49,279.29,176.18,1466.35,1434.13,1130.22,1004.84,1644.82,2478.56,1885.45,1839.67,1504.41,0.0,1871.64,1650.56,2224.4,3309.49
13,2089.49,1716.17,1828.02,2228.45,2751.08,2337.91,1534.11,925.58,2677.77,670.74,1725.27,2712.09,1847.08,0.0,953.01,935.57,2089.49
14,2307.75,1451.83,1411.09,1681.56,2204.19,1791.01,1109.67,305.9,2518.96,625.02,1178.38,2165.2,1472.5,869.9,0.0,1222.66,2307.75
15,1876.08,2118.11,2098.35,2491.27,3013.9,2600.73,1796.93,1188.4,2812.19,965.79,1988.09,2974.91,2159.76,963.15,1215.82,0.0,1876.08
16,0.0,3171.57,3151.81,3544.73,4067.36,3654.18,2850.39,2241.86,3717.66,2230.91,3041.55,4028.37,3213.22,2063.64,2269.28,1983.61,0.0
