,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0.0,1835.93,1444.44,1808.2,1984.96,2699.66,2208.52,1969.67,2324.25,823.8,2195.13,1333.3,890.28,2713.85,1210.45,804.93,3667.01,1292.34,0.0
1,1867.58,0.0,2537.6,2901.36,3078.12,3792.81,3301.68,3062.83,3417.4,2131.76,3288.29,2426.46,2195.09,3807.01,2285.07,1937.1,4760.17,976.63,1867.58
2,1367.69,2490.49,0.0,756.81,1266.41,1876.28,1368.81,1251.12,1484.54,1489.81,1472.96,795.84,1084.16,1890.48,768.97,1107.99,2944.84,1826.74,1367.69
3,1979.07,3101.86,825.17,0.0,686.22,1260.63,753.16,1380.17,868.89,2144.64,857.31,1473.33,1756.92,1274.83,1380.34,1719.36,2329.19,2438.11,1979.07
4,2122.95,3245.74,1268.43,714.46,0.0,1296.79,762.33,1289.26,905.04,2072.54,832.71,1541.06,1666.9,1310.98,1744.2,2005.4,2304.59,2702.15,2122.95
5,2891.34,4014.13,2183.87,1598.99,1395.94,0.0,1038.91,1913.66,1046.91,2696.95,1195.95,2207.29,2291.3,595.12,2562.5,2773.79,1478.28,3470.54,2891.34
6,2468.63,3591.42,1486.68,901.8,747.41,957.09,0.0,1490.95,235.03,2274.24,318.85,1784.58,1868.59,971.28,2041.84,2351.08,2029.94,3047.83,2468.63
7,2100.23,3223.02,1245.7,1401.78,1304.94,1716.21,1459.46,0.0,1470.02,1963.4,1515.11,1473.74,1557.75,1730.41,1721.48,1982.68,2789.06,2679.42,2100.23
8,2397.99,3520.78,1619.29,1034.42,840.61,960.64,214.8,1420.31,0.0,2203.6,365.7,1713.94,1797.95,762.82,2069.15,2280.44,2033.49,2977.19,2397.99
9,827.46,2199.82,1526.77,1907.51,2027.69,2544.41,2251.25,1950.74,2298.22,0.0,2237.87,1174.16,430.7,2558.61,1138.88,1017.83,3617.27,1656.23,827.46
10,2485.54,3608.33,1458.64,990.0,940.46,1153.81,239.69,1687.68,382.52,2470.96,0.0,1903.64,2065.32,1045.88,2013.81,2352.83,2023.36,3064.73,2485.54
11,1380.36,2503.15,820.45,1232.09,1321.37,2052.4,1544.93,1306.08,1660.66,1222.5,1531.55,0.0,816.86,2066.6,1051.52,1262.81,3003.42,1959.56,1380.36
12,930.99,2258.4,1159.81,1571.45,1660.73,2177.45,1884.29,1583.78,1931.26,513.61,1870.9,807.2,0.0,2191.65,1039.73,918.68,3250.3,1714.8,930.99
13,2853.13,3975.93,2098.04,1538.57,1357.73,732.64,910.75,1875.46,705.43,2658.74,1061.65,2169.08,2253.1,0.0,2524.29,2735.58,1886.04,3432.33,2853.13
14,1104.73,2280.49,798.91,1162.68,1641.32,2282.15,1774.68,1626.03,1890.41,1094.32,1851.5,1002.27,997.01,2296.35,0.0,694.68,3323.37,1413.44,1104.73
15,792.87,1922.53,1209.58,1573.35,1750.1,2464.8,1973.66,1734.81,2089.39,782.45,1960.27,1098.44,685.14,2479.0,769.21,0.0,3432.15,1330.46,792.87
16,3933.63,5056.42,2994.74,2459.43,2438.23,1592.1,2081.2,2955.96,2089.2,3739.24,2168.43,3249.58,3333.59,1901.87,3549.9,3816.08,0.0,4512.83,3933.63
17,1396.19,1157.43,1892.31,2256.07,2606.73,3321.43,2830.29,2591.44,2946.02,1690.73,2816.9,1955.07,1723.71,3335.62,1397.98,1050.01,4288.78,0.0,1396.19
18,0.0,1835.93,1444.44,1808.2,1984.96,2699.66,2208.52,1969.67,2324.25,823.8,2195.13,1333.3,890.28,2713.85,1210.45,804.93,3667.01,1292.34,0.0
