,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.0,2232.44,2223.68,364.14,1066.09,810.65,1173.45,1828.47,675.08,531.15,2685.98,2812.86,2065.39,2093.53,875.57,1854.68,558.65,891.3,1919.28,1802.31,0.0
1,2405.46,0.0,692.06,2578.52,2154.44,1976.41,1887.51,2137.15,2305.19,2582.57,1154.36,1281.24,532.24,324.73,2516.63,549.81,2773.03,2010.46,872.25,3686.89,2405.46
2,2409.7,679.18,0.0,2582.76,2158.68,1980.65,1907.12,2206.72,2374.76,2586.81,609.09,735.97,643.62,674.04,2520.87,874.46,2777.27,2014.69,983.63,3691.12,2409.7
3,375.25,2379.11,2370.35,0.0,1212.76,957.32,1320.11,1975.14,821.75,639.18,2832.65,2959.53,2212.06,2240.2,595.22,2001.35,278.3,1037.97,2065.95,1881.27,375.25
4,1051.77,1807.28,1798.52,1224.82,0.0,487.31,546.41,1280.86,642.7,932.23,2260.82,2369.38,1640.23,1668.36,1162.93,1429.52,1419.33,601.46,1581.59,2333.19,1051.77
5,690.83,1675.34,1666.58,863.89,486.05,0.0,603.93,1271.37,716.2,867.94,2128.88,2255.76,1508.29,1536.42,802.0,1297.58,1058.4,149.62,1362.18,1972.25,690.83
6,1144.65,1620.95,1612.2,1317.71,634.64,612.56,0.0,1258.46,958.15,1247.68,2074.49,2201.37,1453.91,1482.04,1255.82,1243.2,1512.22,576.9,1395.27,2426.07,1144.65
7,1850.55,2064.5,2055.74,2023.6,1510.5,1421.49,1198.89,0.0,1616.57,1906.1,2510.98,2435.51,1897.45,1925.58,1961.71,1686.74,2218.11,1498.94,1845.89,3131.97,1850.55
8,736.87,2168.24,2159.48,847.14,596.86,666.8,907.37,1566.3,0.0,389.25,2621.78,2654.82,2001.19,2029.33,947.36,1790.48,1041.65,792.54,1902.61,2205.08,736.87
9,520.15,2414.26,2405.5,626.19,971.62,992.47,1282.13,1909.78,419.36,0.0,2867.8,2994.68,2247.21,2275.34,1041.38,2036.5,820.7,1073.12,2101.1,1984.13,520.15
10,2878.24,1321.27,870.17,3051.3,2627.22,2449.19,2375.66,2674.67,2842.7,3055.35,0.0,181.79,1112.17,1147.54,2989.41,1343.0,3245.81,2483.23,1452.17,4159.66,2878.24
11,2983.44,1375.69,1009.82,3156.5,2643.39,2554.39,2331.79,2581.42,2749.46,3038.99,181.79,0.0,1251.81,1287.19,3094.61,1482.65,3351.01,2622.88,1591.82,4264.86,2983.44
12,2034.69,618.88,720.23,2207.75,1855.1,1605.64,1607.67,1990.73,2158.77,2211.8,1182.53,1309.4,0.0,461.15,2003.7,538.52,2400.38,1591.65,351.75,3316.11,2034.69
13,2176.78,391.39,439.14,2349.83,1925.75,1747.72,1674.2,2057.26,2225.3,2353.89,901.44,1028.32,392.33,0.0,2287.94,473.12,2544.34,1781.77,732.34,3458.2,2176.78
14,897.01,2311.16,2302.4,604.18,1144.81,889.37,1252.17,1907.19,864.2,929.73,2764.7,2891.58,2014.56,2172.25,0.0,1933.4,447.25,970.02,1776.99,2052.03,897.01
15,2146.85,515.05,728.4,2319.91,1895.83,1717.8,1644.27,1894.75,2062.79,2323.96,1190.7,1317.58,525.29,424.06,2198.8,0.0,2514.42,1751.84,615.31,3428.27,2146.85
16,546.79,2550.65,2541.89,253.96,1384.3,1128.86,1491.65,2146.68,993.29,810.72,3004.19,3131.07,2353.75,2411.73,421.39,2172.89,0.0,1209.51,2116.18,1959.92,546.79
17,823.73,1808.24,1799.48,996.79,586.86,169.31,627.01,1361.46,843.35,1000.84,2261.78,2388.66,1554.7,1669.33,934.9,1430.48,1191.3,0.0,1317.13,2105.15,823.73
18,1950.06,873.3,894.23,2123.12,1770.46,1521.01,1523.64,2039.95,2076.05,2127.17,1356.52,1483.4,381.77,715.57,1919.07,622.86,2315.74,1507.02,0.0,3231.48,1950.06
19,1775.62,3425.89,3417.13,1928.02,2259.53,2004.09,2366.89,3021.92,2080.18,1952.73,3879.43,4006.3,3258.84,3286.97,2095.26,3048.13,1979.07,2084.75,3112.73,0.0,1775.62
20,0.0,2232.44,2223.68,364.14,1066.09,810.65,1173.45,1828.47,675.08,531.15,2685.98,2812.86,2065.39,2093.53,875.57,1854.68,558.65,891.3,1919.28,1802.31,0.0
