,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0.0,2199.01,1065.28,412.67,2310.04,805.72,1561.71,2237.36,156.61,1544.74,2141.13,2207.7,1892.27,1176.23,766.97,1781.96,1594.02,492.65,3070.68,196.29,2403.47,2153.39,1783.83,1679.78,1963.32,1740.35,1735.79,2390.51,1992.11,1625.59,0.0
1,2148.94,0.0,2462.79,2191.01,303.02,2464.6,1277.68,934.06,2196.86,1209.17,1200.25,650.59,949.37,2796.18,2386.92,1736.2,2424.76,2027.44,1602.87,2018.58,923.78,434.37,1087.35,838.41,1917.56,2837.25,1461.9,881.4,875.15,1195.06,2148.94
2,939.6,2374.08,0.0,931.47,2252.58,539.05,1662.49,2142.78,1010.18,1585.83,2586.09,2113.12,1806.62,1156.52,478.08,1669.48,1451.91,980.49,3245.75,1005.18,2578.54,2328.46,1781.93,1854.84,1850.84,1189.79,1642.52,2565.58,2167.18,2070.54,939.6
3,334.36,2319.5,983.33,0.0,2430.54,764.71,1697.69,2352.81,404.95,1660.19,2359.7,2323.15,2007.71,1094.28,685.03,1897.41,1709.46,608.09,3191.18,490.37,2523.97,2273.88,1899.27,1800.27,2078.77,1658.4,1851.23,2511.0,2112.6,1844.15,334.36
4,2231.32,303.02,2480.02,2273.39,0.0,2546.97,1276.67,707.72,2279.24,1208.17,1282.63,424.24,774.6,2878.55,2469.3,1753.42,2441.98,2109.81,1685.25,2100.96,1018.04,516.75,912.58,920.79,1934.78,2854.47,1475.22,1005.07,997.87,1317.78,2231.32
5,836.83,2532.28,531.42,786.89,2410.78,0.0,1820.69,2300.98,907.41,1744.03,2744.29,2271.32,1964.82,1160.36,529.19,1827.68,1610.11,1070.99,3403.95,968.44,2736.74,2486.65,1940.12,2013.04,2009.04,1319.11,1800.72,2723.77,2325.38,2228.74,836.83
6,1508.32,1105.53,1822.42,1582.35,1216.56,1855.94,0.0,1014.09,1464.78,101.13,1317.54,984.42,644.63,2187.52,1778.27,1095.83,1784.39,1388.09,1977.2,1409.93,1309.99,1059.9,560.55,450.64,1277.19,2196.88,585.11,1297.02,898.62,801.99,1508.32
7,2115.54,853.69,2269.83,2157.61,635.72,2369.09,1028.07,0.0,2186.13,959.57,1623.52,493.97,526.0,2762.78,2353.52,1543.24,2231.79,1994.04,2164.97,1985.18,1403.41,996.47,668.76,788.55,1724.6,2644.29,1226.62,1390.44,1176.67,1496.58,2115.54
8,93.17,2204.34,1076.52,423.9,2315.38,816.96,1567.05,2290.26,0.0,1565.81,2146.47,2260.6,1945.16,1187.46,778.21,1834.86,1646.91,545.55,3076.02,249.18,2408.8,2158.72,1836.72,1685.11,2016.22,1751.58,1788.69,2395.84,1997.44,1630.92,93.17
9,1464.8,1050.22,1767.12,1537.39,1161.26,1810.98,99.32,958.78,1421.25,0.0,1262.23,929.12,589.33,2142.56,1733.31,1040.53,1729.08,1344.56,1921.9,1364.97,1254.69,1004.6,505.24,395.34,1221.89,2141.58,530.96,1241.72,843.32,746.69,1464.8
10,2047.22,1185.43,2493.34,2236.31,1267.59,2483.1,1318.2,1448.14,2003.67,1325.23,0.0,1218.37,1255.11,2904.88,2495.63,1857.51,2546.06,1926.98,1776.94,2027.46,749.96,1015.12,1270.86,1002.09,2038.87,2958.55,1583.2,785.97,540.17,714.96,2047.22
11,2109.87,632.47,2264.16,2151.94,414.49,2363.42,1022.4,473.7,2180.45,953.89,1357.64,0.0,520.32,2757.1,2347.85,1537.56,2226.12,1988.36,1943.75,1979.51,1276.54,775.25,663.09,735.75,1718.93,2638.61,1220.95,1263.57,910.8,1230.7,2109.87
12,1753.19,1064.09,1944.59,1795.26,846.12,2043.85,665.72,616.06,1823.78,597.22,1428.0,586.39,0.0,2400.43,1991.17,1218.0,1906.56,1631.69,2061.6,1622.83,1394.39,1066.76,233.24,411.05,1399.36,2319.05,864.27,1381.42,983.03,1233.36,1753.19
13,1096.9,2989.74,1237.95,1088.77,3094.92,1247.64,2367.92,2985.12,1167.49,2330.42,3125.52,2955.46,2648.96,0.0,977.76,2511.82,2291.76,1278.33,3861.41,1175.78,3194.2,2944.11,2569.5,2470.5,2693.18,1938.89,2484.86,3181.23,2782.83,2609.98,1096.9
14,778.2,2660.59,540.04,770.07,2539.09,499.52,1949.0,2429.29,848.79,1872.34,2833.14,2399.63,2093.13,854.98,0.0,1955.99,1625.14,959.63,3532.26,857.08,2865.05,2614.97,2068.44,2141.35,2137.35,1272.27,1929.03,2852.08,2453.69,2317.6,778.2
15,1700.54,1780.4,1700.85,1742.61,1658.91,1800.11,1068.81,1549.1,1771.13,992.15,1992.41,1519.44,1212.94,2292.66,1840.35,0.0,1662.81,1579.04,2652.07,1570.19,1984.86,1734.78,1188.25,1261.17,426.89,2075.31,1000.41,1971.9,1573.5,1476.86,1700.54
