,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,0.0,1877.5,308.72,1314.29,1262.13,689.0,3040.77,903.34,912.78,1097.03,388.76,987.24,1426.28,1267.14,597.17,2009.62,1437.18,159.05,1872.62,1691.29,1844.69,3214.65,2975.92,655.01,976.08,527.06,1097.97,2390.71,2977.83,1100.32,1306.31,2424.95,487.01,2225.78,334.3,1955.48,1085.54,1900.82,1186.46,2485.64,0.0
1,1909.4,0.0,1820.45,1425.46,1538.06,2179.06,2530.48,1823.98,1872.87,2569.32,1882.03,2269.51,1367.03,2440.08,2024.11,1499.33,703.66,2019.16,1362.33,830.28,1684.07,2704.35,2465.63,2127.29,1657.94,2154.78,1393.02,1880.42,2014.98,1694.84,2147.35,1914.66,2114.73,1715.49,1904.11,992.63,1767.41,1497.2,2468.73,1624.64,1909.4
2,478.29,1719.52,0.0,1156.31,1104.15,942.67,2882.79,772.64,897.6,1332.92,163.43,988.89,1268.29,1313.84,466.47,1851.64,1279.2,403.56,1714.64,1533.31,1632.93,3056.66,2817.94,890.9,750.75,823.61,939.98,2232.73,2819.85,874.99,1379.95,2266.96,728.42,2067.8,441.14,1797.5,860.21,1742.84,1188.11,2327.66,478.29
3,1228.28,1350.75,948.37,0.0,382.42,1168.07,2257.87,812.99,861.88,1558.33,1009.95,1588.39,438.75,1821.15,1013.12,1176.82,910.43,1325.83,986.98,1164.54,892.71,2431.75,2193.02,1116.3,646.96,1284.98,405.86,1607.81,2451.08,683.85,1508.76,1750.26,1206.81,1699.04,1223.0,1428.73,756.42,948.84,1691.75,1958.89,1228.28
4,1268.21,1554.37,988.3,381.45,0.0,1235.22,2515.75,880.14,929.03,1625.48,1049.88,1628.32,556.83,1871.94,1080.27,1434.69,1114.05,1365.77,1244.86,1368.16,1150.59,2689.62,2450.9,1183.45,400.08,1352.14,638.97,1865.69,2654.7,491.19,1559.56,2008.13,1273.96,1902.66,1262.93,1632.35,602.67,1206.72,1758.9,2162.51,1268.21
5,647.09,2266.41,855.36,1345.09,1266.64,0.0,3180.25,840.68,791.54,702.88,935.4,930.14,1462.52,1656.05,847.93,2021.58,1826.09,708.64,1909.37,2080.2,1722.43,3354.13,3115.41,117.32,941.12,276.81,1437.76,2530.19,3366.75,1065.36,1695.22,2672.64,276.53,2614.7,725.62,2344.39,968.06,1853.84,836.3,2874.55,647.09
6,3077.2,2433.47,2813.62,2236.13,2443.28,3033.32,0.0,2678.24,2727.13,3423.58,2875.2,3437.31,2157.72,3607.88,2878.37,1514.9,2056.02,3186.96,1659.88,2247.26,1970.94,330.8,858.95,2981.55,2326.86,3150.23,2356.15,1507.27,3192.38,2478.53,3315.16,1440.81,3072.05,1644.54,3071.92,2511.45,2469.93,1784.07,3557.0,3041.61,3077.2
7,830.19,1885.82,734.25,931.44,852.99,734.78,2766.6,0.0,365.22,1125.04,700.07,1352.3,1048.86,1832.39,369.49,1685.54,1445.51,878.54,1495.71,1699.62,1392.43,2940.47,2701.75,683.01,527.47,851.69,1024.1,2116.53,2986.16,651.71,1871.56,2258.98,773.51,2234.11,995.81,1963.81,505.97,1457.57,1258.46,2493.97,830.19
8,926.41,1852.48,882.02,898.1,819.64,831.0,2664.52,356.71,0.0,1221.25,847.84,1448.52,1015.52,1928.61,517.26,1483.63,1412.16,1022.5,1462.37,1666.28,1184.49,2821.11,2668.41,779.23,494.12,947.91,990.76,2077.39,2952.82,618.36,1857.67,2225.64,869.73,2200.77,1092.03,1930.46,312.31,1315.9,1354.68,2460.63,926.41
9,1064.74,2588.15,1266.26,1633.77,1555.31,690.34,3468.93,1129.36,1080.21,0.0,1346.3,671.79,1751.19,2066.95,1227.65,2361.55,2147.83,1160.84,2198.04,2401.95,2062.41,3642.8,3404.08,698.06,1229.79,853.41,1726.43,2818.86,3688.49,1354.03,2106.12,2961.31,916.42,2936.44,1230.37,2666.13,1256.73,2159.89,587.81,3196.3,1064.74
