,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,0.0,1875.66,1597.63,984.18,782.06,899.09,2349.87,317.68,1765.95,1684.72,1724.58,1484.37,1417.47,1935.54,1829.15,1295.94,2272.85,820.52,1657.82,2690.95,1150.05,1093.46,170.45,954.94,1802.69,1855.97,909.5,1538.2,1553.77,1057.85,1045.52,1419.23,2726.78,2291.78,1139.68,1592.33,1232.6,1871.58,2302.99,712.04,937.34,1444.55,1355.28,1352.05,168.57,1182.29,2259.4,1651.61,1050.74,2357.36,0.0
1,2045.27,0.0,1034.46,1871.48,2219.94,1759.89,1503.8,2163.53,930.04,2396.61,600.58,812.46,1527.07,1044.49,705.15,2884.53,1299.76,2301.91,972.9,1717.86,2764.72,2708.13,2115.65,2045.87,3391.29,802.16,2132.19,1270.56,1246.35,2530.46,2526.9,3033.89,3905.43,1399.54,2026.98,1080.35,2119.91,1025.51,1329.9,2100.96,2552.0,3059.21,1205.58,1370.43,2058.17,1362.89,1413.32,901.95,2665.41,3627.3,2045.27
2,1897.17,1002.8,0.0,1946.03,1907.29,1834.43,1017.98,2015.42,253.01,2646.57,722.66,746.28,1079.06,603.65,735.07,2571.89,1164.49,2376.45,350.92,1376.0,2556.76,2500.17,1935.42,1640.61,3078.64,466.13,1755.15,623.87,599.66,2464.56,2497.73,2825.93,3979.97,959.89,2101.52,94.82,2194.45,539.69,1161.37,1800.04,2344.05,2827.73,740.35,860.18,1910.06,1255.24,927.51,476.86,2457.45,3701.84,1897.17
3,1168.15,1784.3,1697.37,0.0,1342.82,640.71,2449.6,1286.41,1842.08,1048.68,1633.22,1492.73,1580.78,2035.27,1737.79,2007.42,2181.49,1424.79,1757.56,2599.59,1887.6,1831.01,1238.53,1451.93,2514.17,1764.61,1421.3,1637.93,1673.67,1653.34,1649.79,2156.77,2495.85,2281.27,605.98,1692.06,698.9,1971.31,2211.63,1223.84,1674.89,2182.09,1455.01,1451.79,1181.05,1109.76,2359.13,1718.82,1788.29,2692.58,1168.15
4,742.15,2064.04,1715.78,1218.66,0.0,1133.56,2468.01,815.98,1867.64,1919.19,1891.3,1512.31,1284.62,2053.69,1995.88,1258.01,2439.57,1092.67,1775.97,2826.03,1260.13,1203.54,648.14,780.3,1764.76,1976.31,858.76,1583.94,1379.13,1167.93,1196.77,1529.31,2961.26,2409.93,1374.15,1710.47,1467.08,1989.72,2469.71,517.48,1047.42,1513.86,1189.24,1343.38,634.3,1300.43,2377.54,1679.55,1160.82,2683.13,742.15
5,1030.1,1646.25,1559.32,682.61,1204.77,0.0,2311.55,1148.36,1704.03,1383.15,1495.17,1354.68,1442.73,1897.22,1599.74,1869.37,2043.44,1286.74,1619.51,2461.54,1749.55,1692.96,1100.48,1313.88,2376.12,1626.56,1283.25,1499.88,1535.62,1515.29,1511.73,2018.72,2890.26,2143.22,778.53,1554.01,865.85,1833.26,2073.58,1085.79,1536.84,2044.04,1316.96,1313.73,1043.0,971.71,2221.08,1580.77,1650.24,2612.13,1030.1
6,2489.77,1548.02,998.74,2538.63,2528.36,2427.03,0.0,2608.03,1179.57,3239.17,1282.79,1529.59,1671.66,728.64,1254.29,3192.96,708.27,2969.05,1248.4,1037.29,3149.36,3092.77,2528.02,2261.43,3699.71,1266.62,2347.75,1234.84,1210.63,3057.16,3090.33,3418.54,4572.57,503.67,2694.13,1072.16,2787.05,705.04,705.15,2421.11,2936.65,3443.86,1332.96,1452.79,2502.67,1847.85,288.85,1376.95,3050.05,4294.44,2489.77
7,295.68,1970.68,1692.65,1079.19,926.55,994.1,2444.88,0.0,1860.96,1779.73,1819.59,1579.39,1512.49,2030.55,1924.17,1398.53,2367.86,772.69,1752.84,2785.96,1252.64,1196.05,416.54,1051.94,1905.28,1950.99,1034.59,1633.21,1668.95,1079.64,997.69,1521.82,2743.35,2386.8,1234.69,1687.34,1327.62,1966.59,2398.0,837.13,1039.93,1547.14,1450.29,1447.06,280.85,1277.3,2354.41,1746.62,1153.33,2289.23,295.68
8,2036.35,957.96,287.88,1862.56,2088.42,1750.97,1218.12,2154.61,0.0,2563.1,580.1,578.8,1250.48,803.79,645.35,2753.01,1364.63,2292.98,210.98,1576.14,2728.18,2671.59,2106.73,1821.74,3259.76,323.57,1926.57,736.91,712.7,2521.54,2517.98,2997.36,3896.51,1160.03,2018.06,268.81,2110.99,739.83,1361.51,1981.17,2515.47,3008.86,911.78,1031.61,2049.25,1353.97,1127.65,309.38,2628.87,3618.38,2036.35
9,1856.04,2169.35,2385.25,1047.59,2030.7,1328.59,3137.49,1974.29,2529.97,0.0,2282.3,2180.61,2268.67,2723.16,2386.87,2695.3,2869.37,1969.11,2445.44,3287.47,2497.5,2439.29,1926.42,2139.82,3202.05,2452.5,2109.18,2325.81,2361.55,1976.74,2021.85,2844.66,2498.54,2969.15,817.85,2379.95,910.77,2659.2,2899.51,1911.72,2284.79,2792.0,2142.89,2139.67,1868.93,1797.64,3047.01,2406.7,2396.56,2613.62,1856.04
