,0,1,2,3,4,5,6,7,8,9,10
0,0.0,675.08,2058.92,1585.49,2465.92,2719.57,2347.5,1799.67,1092.57,1078.54,0.0
1,634.45,0.0,2076.69,1717.88,2598.31,2899.35,2439.36,1901.31,1065.73,1051.69,634.45
2,1946.92,1831.09,0.0,758.88,1294.68,3550.47,787.97,764.76,2164.43,2150.39,1946.92
3,1698.63,1563.0,774.44,0.0,1137.36,3242.45,1018.94,214.18,1896.33,1882.3,1698.63
4,2465.09,2345.79,1428.22,1120.27,0.0,4006.31,1361.58,1092.11,2679.12,2665.09,2465.09
5,2600.36,2849.5,3732.05,3258.62,4139.05,0.0,4020.63,3472.8,3214.77,3200.74,2600.36
6,2355.57,2251.58,816.1,1097.23,1252.64,3983.26,0.0,1174.82,2643.48,2629.44,2355.57
7,1721.05,1585.42,766.14,232.14,1216.72,3304.79,1119.56,0.0,1918.75,1904.71,1721.05
8,1286.26,1210.89,2397.14,2172.79,2973.23,3408.84,2778.58,2221.77,0.0,44.52,1286.26
9,1262.46,1212.09,2398.34,2174.0,2974.43,3410.04,2779.78,2222.97,44.52,0.0,1262.46
10,0.0,675.08,2058.92,1585.49,2465.92,2719.57,2347.5,1799.67,1092.57,1078.54,0.0
