Input,Objective,Runtime,TSP
PenaltyMin: 10,,,
1,4200,26.849405,10649.49
2,4200,15.653999,8692.7
3,4200,22.399,8669
4,3358.764999,21.077999,9048.83
5,4141.335,12.582996,12346.31
AVERAGE,4020.02,19.7126798,9881.266
PenaltyMin: 15,,,
1,6300,43.805,10649.49
2,6300,21.255392,8692.7
3,6292.17,27.510832,8669
4,4258.765,29.838451,9048.83
5,5641.335,14.407471,12346.31
AVERAGE,5758.454,27.3634292,9881.266
PenaltyMin: 20,,,
1,7023.159999,34.710629,10649.49
2,7573.685,28.3608,8692.7
3,6292.17,31.433002,8669
4,5158.765,29.65,9048.83
5,7141.335,15.168003,12346.31
AVERAGE,6637.823,27.8644868,9881.266
PenaltyMin: 25,,,
1,7023.159999,46.469099,10649.49
2,8286.57,29.187178,8692.7
3,6292.169999,33.192993,8669
4,6058.764999,30.581001,9048.83
5,8586.53,15.757,12346.31
AVERAGE,7249.438999,31.0374542,9881.266
PenaltyMin: 30,,,
1,7023.16,30.390999,10649.49
2,8286.57,27.094999,8692.7
3,6292.17,27.476046,8669
4,6958.764999,38.906399,9048.83
5,9186.53,18.289991,12346.31
AVERAGE,7549.439,28.4316868,9881.266
PenaltyMin: 35,,,
1,7023.159999,32.589634,10649.49
2,8286.569999,22.134085,8692.7
3,6292.17,35.506453,8669
4,7858.764999,36.425823,9048.83
5,9786.53,19.92,12346.31
AVERAGE,7849.438999,29.315199,9881.266
PenaltyMin: 40,,,
1,7023.16,38.565575,10649.49
2,8286.57,28.011009,8692.7
3,6292.169999,37.198999,8669
4,8511.491489,108.819914,9048.83
5,10386.53,19.713444,12346.31
AVERAGE,8099.984298,46.4617882,9881.266
