
Gurobi 9.5.0 (win64) logging started Thu Apr  7 01:13:44 2022

Set parameter LogFile to value "..\NewModel\Data_12_5_5\Penalt_10Mins\logFile.txt"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (win64)
Thread count: 6 physical cores, 12 logical processors, using up to 12 threads
Optimize a model with 23548 rows, 6057 columns and 778466 nonzeros
Model fingerprint: 0x81305f01
Variable types: 186 continuous, 5871 integer (5871 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+05]
  Objective range  [1e+00, 6e+02]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+05]
Found heuristic solution: objective 6600.0000000
Presolve added 0 rows and 26 columns
Presolve removed 1043 rows and 0 columns
Presolve time: 1.02s
Presolved: 22505 rows, 6083 columns, 582492 nonzeros
Extracted 6831 lazy constraints
Variable types: 168 continuous, 5915 integer (5915 binary)

Root relaxation: objective 7.842369e+02, 838 iterations, 0.09 seconds (0.18 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0  784.23693    0   11 6600.00000  784.23693  88.1%     -    1s
H    0     0                    5445.3450000  784.23693  85.6%     -    1s
     0     0  818.77038    0   45 5445.34500  818.77038  85.0%     -    2s
     0     0 1147.98642    0   98 5445.34500 1147.98642  78.9%     -    3s
H    0     0                    4938.3750000 1147.98642  76.8%     -    4s
     0     0 1147.98642    0  101 4938.37500 1147.98642  76.8%     -    4s
H    0     0                    4511.6550000 1147.98642  74.6%     -    4s
     0     0 1147.98642    0  129 4511.65500 1147.98642  74.6%     -    4s
     0     0 1196.57650    0  119 4511.65500 1196.57650  73.5%     -    5s
     0     0 1200.00000    0   97 4511.65500 1200.00000  73.4%     -    5s
     0     0 1200.00000    0   92 4511.65500 1200.00000  73.4%     -    6s
     0     0 1200.00000    0   11 4511.65500 1200.00000  73.4%     -    6s
     0     0 1200.00000    0   12 4511.65500 1200.00000  73.4%     -   14s
     0     0 1200.00000    0   22 4511.65500 1200.00000  73.4%     -   14s
     0     0 1200.00000    0   49 4511.65500 1200.00000  73.4%     -   16s
     0     0 1200.00000    0   46 4511.65500 1200.00000  73.4%     -   16s
     0     0 1200.00000    0   44 4511.65500 1200.00000  73.4%     -   16s
     0     0 1200.00000    0   86 4511.65500 1200.00000  73.4%     -   16s
H    0     0                    4503.8900000 1200.00000  73.4%     -   16s
     0     0 1200.00000    0   62 4503.89000 1200.00000  73.4%     -   16s
     0     0 1200.00000    0   62 4503.89000 1200.00000  73.4%     -   16s
     0     0 1200.00000    0   57 4503.89000 1200.00000  73.4%     -   17s
     0     0 1200.00000    0   49 4503.89000 1200.00000  73.4%     -   17s
     0     0 1200.00000    0   49 4503.89000 1200.00000  73.4%     -   17s
     0     0 1200.00000    0   53 4503.89000 1200.00000  73.4%     -   17s
     0     0 1200.00000    0   12 4503.89000 1200.00000  73.4%     -   18s
     0     0 1200.00000    0   15 4503.89000 1200.00000  73.4%     -   18s
     0     0 1200.00000    0   13 4503.89000 1200.00000  73.4%     -   19s
     0     0 1200.00000    0   12 4503.89000 1200.00000  73.4%     -   19s
     0     0 1200.00000    0   13 4503.89000 1200.00000  73.4%     -   20s
     0     0 1200.00000    0   13 4503.89000 1200.00000  73.4%     -   20s
     0     2 1200.00000    0   12 4503.89000 1200.00000  73.4%     -   21s
H   29    25                    4473.8900000 1200.00000  73.2%   126   23s
H   30    25                    4425.3450000 1200.00000  72.9%   122   23s
    78    66 1200.00000   16   32 4425.34500 1200.00000  72.9%  90.1   25s
   571   362 1200.00000   25   28 4425.34500 1200.00000  72.9%  60.3   30s
  2467   890 1350.09324   51   34 4425.34500 1200.00000  72.9%  51.1   35s
  3969  1173 3152.22253   51   11 4425.34500 1200.00000  72.9%  51.9   68s
  3972  1175 1200.00000   24   54 4425.34500 1200.00000  72.9%  51.9   70s
  4005  1200 1800.00000   13   22 4425.34500 1200.00000  72.9%  53.4   75s
  4113  1249 1200.00000   22   44 4425.34500 1200.00000  72.9%  53.7   80s
  4542  1358 infeasible   27      4425.34500 1200.00000  72.9%  53.5   85s
  4981  1346 1200.00000   31   22 4425.34500 1200.00000  72.9%  53.0   90s
  5549  1393 1200.00000   31   19 4425.34500 1200.00000  72.9%  52.9   95s
  6057  1401 1200.00000   49   30 4425.34500 1200.00000  72.9%  52.8  100s
  7077  1388 infeasible   60      4425.34500 1200.00000  72.9%  50.3  105s
  7640  1538 infeasible   25      4425.34500 1200.00000  72.9%  49.7  110s
  8375  2054 1200.00000   46    8 4425.34500 1200.00000  72.9%  49.3  115s
  9691  2569 1200.00000   38   23 4425.34500 1200.00000  72.9%  47.0  122s
 11550  2659 1200.00000   48   45 4425.34500 1200.00000  72.9%  43.4  125s
 12701  2984 infeasible   47      4425.34500 1200.00000  72.9%  43.1  132s
 13274  3079 1786.02679   55   39 4425.34500 1200.00000  72.9%  43.9  136s
 13812  3075 1200.00000   26   23 4425.34500 1200.00000  72.9%  43.2  141s
 14341  3102 1200.00000   25   27 4425.34500 1200.00000  72.9%  43.9  145s
